Date,Time,Location,Vehicle Count,Vehicle Type,Weather,Road Condition,Hour
2026-04-01,07:15,Downtown,120,Car,Clear,Dry,7
2026-04-01,17:45,Downtown,180,Truck,Clear,Dry,17
2026-04-01,18:00,Uptown,200,Bus,Unknown,Wet,18
2026-04-02,07:00,Downtown,130,Car,Clear,Dry,7
2026-04-02,17:30,Uptown,190,Truck,Clear,Dry,17
2026-04-02,18:15,Uptown,210,Bus,Rainy,Unknown,18
2026-04-02,08:15,Downtown,145,Car,Cloudy,Dry,8
2026-04-03,07:30,Downtown,125,Car,Clear,Dry,7
2026-04-03,08:45,Downtown,155,Car,Clear,Dry,8
2026-04-03,17:55,Uptown,175,Truck,Rainy,Wet,17
2026-04-03,18:20,Uptown,220,Bus,Clear,Dry,18
2026-04-03,08:45,Downtown,0,Car,Clear,Dry,8
2026-04-04,07:10,Downtown,140,Car,Clear,Dry,7
2026-04-04,08:50,Uptown,155,Car,Cloudy,Dry,8
2026-04-04,18:05,Downtown,185,Bus,Clear,Dry,18
